NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NumberOfOfficers,OfficerRace,OfficerGender
1,F,NA,B,U,U,3,W;W;W,U
1,F,NA,B,U,U,1,W,U
1,N,NA,B,U,U,1,W,U
1,F,NA,B,U,U,1,B,U
1,F,NA,B,U,U,2,B;W,U
1,F,NA,B,U,U,1,B,U
1,N,NA,B,U,U,1,W,U
1,F,NA,B,U,U,3,W;B;H,U
1,F,NA,B,U,U,2,W;A,U
1,N,NA,B,U,U,2,W;A,U
1,N,NA,B,U,U,1,W,U
1,N,NA,W,U,U,3,W;W;W,U
1,N,NA,L,U,U,1,H,U
1,N,NA,B,U,U,1,W,U
1,F,NA,B,U,U,1,W,U
1,N,NA,B,U,U,1,B,U
1,F,NA,B,U,U,1,W,U
1,N,NA,B,U,U,2,B;B,U
1,F,NA,B,U,U,1,W,U
1,N,NA,B,U,U,1,W,U
1,N,NA,B,U,U,2,B;W,U
1,F,NA,B,U,U,1,B,U
1,F,NA,B,U,U,4,B;B;B;W,U
1,N,NA,B,U,U,1,B,U
1,N,NA,W,U,U,1,B,U
1,F,NA,W,U,U,1,W,U
1,N,NA,B,U,U,1,W,U
1,N,NA,B,U,U,2,B;W,U
1,N,NA,B,U,U,1,B,U
1,F,NA,B,U,U,2,H;W,U
1,N,NA,B,U,U,3,W;B;H,U
1,N,NA,B,U,U,1,H,U
1,N,NA,B,U,U,1,B,U
1,N,NA,B,U,U,1,B,U
1,N,NA,W,U,U,1,B,U
1,F,Y,U,M,19,2,U;U,M;M
1,N,Y,U,M,21,1,W,M
1,N,N,U,M,18,1,B,M
1,F,Y,U,M,38,2,W;W,M;M
1,F,Y,U,M,20,2,B;B,M;M
1,F,Y,U,M,20,2,W;W,M;M
1,F,N,U,M,38,1,U,M
1,F,Y,U,M,29,3,W;W;B,M;M;M
1,N,N,B,M,22,1,W,M
1,F,Y,U,M,25,2,U,M;M
1,N,Y,U,M,23,1,B,U
1,F,Y,U,M,26,1,U,M
1,F,N,B,M,31,1,W,M
1,F,Y,U,M,40,3,U,M;M;M
1,N,Y,L,M,17,1,A/PI,M
1,N,Y,B,M,21,1,W,M
1,N,Y,B,M,25,1,W,M
1,N,Y,W,M,24,8,W;W;W;W;W;W;W;W,M;M;M;M;M;M;M;M;M
1,N,N,B,M,15,1,W,M
1,F,Y,W,M,48,1,W,M
1,N,Y,B,M,69,1,W,M
1,N,N,L,M,57,1,W,M
1,N,Y,B,M,21,1,W,M
1,N,Y,L,M,22,1,B,M
1,N,N,B,M,28,1,AI/AN,M
1,N,N,W,M,48,1,W,M
1,N,Y,W,M,21,1,W,M
1,F,Y,B,M,28,1,W,M
1,F,Y,W,M,26,1,W,M
1,F,N,W,M,55,1,W,M
1,N,Y,B,U,U,2,W;B,M;M
1, F,Y,B,U,U,2,W;B,M;M
1,F,Y,W,M,59,1,W,M
1,F,N,B,M,24,1,W,M
1,N,Y,B,U,U,2,W;W,M;M
1, N,Y,B,U,U,2,W;W,M;M
1, N,Y,B,U,U,2,W;W,M;M
1,N,Y,B,M,31,1,W,M
1,N,Y,B,M,26,1,B,M
1,N,Y,B,M,21,1,H,M
1,F,Y,B,M,21,1,W,M
1,N,Y,B,M,31,1,W,M
1,N,Y,B,M,UNKNOWN,11,W,M
1,N,Y,B,M,UNKNOWN,2,W;A/PI,M;M
1,N,N,B,M,27,1,A/PI,M
1,F,N,B,F,20,1,W,M
1,N,Y,B,M,14,1,B,M
1,N,Y,B,M,32,1,A/PI,F
1,F,Y,B,M,18,1,W,M
1,F,Y,B,M,33,1,W,M
1,F,Y,B,M,30,8,W;B;W;W;W;W;W;W,M;M;M;M;M;M;M;M;F
1,N,Y,U,M,UNKNOWN,1,W,M
1,N,Y,B,M,25,1,W,M
1,F,Y,A,M,UNKNOWN,2,W;W,M;M
1,F,Y,B,M,18,2,W;W,M;M
1,N,Y,B,M,40,1,W,M
1,N,Y,L,M,UNKNOWN,3,W;B;W,M;M;M
1,N,Y,W,M,30,1,W,M
1,F,Y,B,M,43,1,B,M
1,N,Y,L,M,31,1,W,F
1,N,Y,B,M,UNKNOWN,1,B,M
1,N,U,B,M,20-29,2,B;W,M;M
1,F,U,B,M,28,1,L,M
1,N,U,U,M,0-19,2,L;A,M;M
1,N,U,B,M,30-39,1,W,M
1,N,U,B,M,50-59,1,L,M
1,F,U,B,M,21,1,W,M
1,F,U,B,M,25,1,W,M
1,F,U,B,M,50,4,B;B;B;B,M;M;M;M
1,N,U,B,M,20-29,1,W,M
1,N,U,B,M,46,1,B,F
1,N,U,B,M,0-19,1,L,M
1,N,U,B,U,U,4,B;B;B;B,M;M;M;M
1,N,U,B,U,U,4,B;B;B;B,M;M;M;M
1,F,U,B,M,30,2,B;B,F;F
1,N,U,B,M,20-29,2,W;W,M;M
1,N,U,B,M,20-29,1,W,M
1,N,U,L,U,U,1,A,M
1,N,U,L,U,U,1,A,M
1,N,U,B,M,20-29,2,W;W,M;F
1,F,U,B,M,24,1,B,M
1,F,U,B,M,44,1,B,M
1,N,U,L,M,20-29,3,A;W;L,M;M;F
1,N,U,B,M,0-19,1,W,M
1,N,U,B,M,20-29,1,L,M
1,N,U,L,M,20-29,1,B,F
1,U,U,W,U,U,1,W,M
1,F,U,B,U,U,1,W,M
1,N,U,B,U,U,2,W;B,M;M
1,N,U,B,U,U,2,W;B,M;M
1,N,U,B,U,U,2,W;B,M;M
1,N,U,B,M,17,1,B,M
1,N,U,B,M,0-19,4,B;B;B;B,M;M;M;M
1,N,U,B,M,30-39,1,W,M
1,N,U,B,M,0-19,1,B,M
1,N,U,B,M,0-19,1,W,M
1,F,U,B,M,30-39,1,W,M
1,N,U,B,M,20-29,2,W;W,M;M
1,N,U,B,M,20-29,1,B,M
1,N,U,B,U,U,1,A,M
1,N,U,B,U,U,1,A,M
1,N,U,B,U,U,1,A,M
1,N,U,B,U,U,1,A,M
1,U,U,U,U,U,1,B,M
1,N,U,B,M,34,2,L;W,F;F
1,N,U,B,M,0-19,1,B,M
1,U,U,L,M,20-29,1,L,M
1,N,U,B,U,U,3,B;L;B,M;M;M
1,N,U,B,U,U,3,B;L;B,M;M;M
1,F,Y,B,M,27,2,L;A,M;M
1,F,N,B,M,31,1,L,M
1,N,U,B,M,0-19,4,W;L;L;W,M;M;M;M
1,N,U,B,M,U,1,L,M
1,F,U,B,M,34,2,W;A,M;M
1,N,U,B,M,0-19,1,L,M
1,N,U,L,M,20-29,1,L,M
1,N,U,B,M,23,1,L,M
1,F,U,B,U,U,2,W;W,M;M
1,N,U,U,U,U,2,W;W,M;M
1,F,U,W,M,55,4,W;L;W;W,M;M;M;M
1,N,U,B,M,U,2,B;B,M;M
1,F,U,B,M,23,2,W;W,M;M
1,F,U,B,M,50-59,1,W,M
1,U,U,L,M,0-19,1,W,M
1,N,U,B,M,20-29,1,B,M
1,N,U,B,M,30-39,1,B,F
1,N,U,B,M,40-49,1,L,M
1,N,U,B,M,20-29,1,W,M
1,N,U,B,M,20-29,2,B;W,M;M
1,N,U,B,M,0-19,1,W,M
1,N,U,B,M,30-39,1,L,M
1,N,U,L,U,U,1,L,F
1,N,U,L,U,U,1,L,F
1,N,U,B,M,17,2,B;B,M;M
1,N,U,B,M,30-39,4,B;B;W;B,F;F;M;F
1,N,U,W,M,20-29,1,W,M
1,U,U,B,M,30-39,1,W,M
1,N,U,B,M,20-29,1,B,M
1,N,U,B,M,20,3,W;L;L,M;M;M
